Country_x,Country_y,maxScore,PopScore,HDIScore,GDPScore
Andorra,United Arab Emirates,151.0,4678254720.37,3320535752.4779005,59063460781748.664
Andorra,Antigua and Barbuda,150.0,4540604545.37,3233375900.0679007,58069300264837.664
Andorra,Armenia,146.0,4744395044.37,3389688434.9579005,59616971312806.664
Andorra,Angola,145.0,4579839141.37,3248432601.8179,58078960063354.86
Andorra,Argentina,151.0,4806104796.37,3403583563.8979006,59572841643501.664
Andorra,Austria,155.0,4649889835.37,3277676134.947901,58092597104820.46
Andorra,Australia,155.0,4678310308.37,3296616529.2779007,58279838782753.266
Andorra,Azerbaijan,148.0,4754153218.37,3397007065.4579005,59670996601301.76
Andorra,Bosnia and Herzegovina,142.0,4677542610.37,3344061729.4979005,59359821900509.664
Andorra,Barbados,151.0,4540710715.37,3233452342.4679008,58069734651144.266
Andorra,Bangladesh,146.0,4526304845.37,3222552067.907901,57971532768456.664
Andorra,Belgium,156.0,4667433961.37,3291535994.4879007,58276958104820.46
Andorra,Burkina Faso,153.0,4878226726.37,3390291763.1579,58561616305451.664
Andorra,Bulgaria,149.0,4526489603.37,3223208956.3979006,57998189182239.46
Andorra,Bahrain,145.0,4609908170.37,3278979685.9779005,58734138002385.664
Andorra,Burundi,143.0,4614663246.37,3259586107.6379,57974020890261.86
Andorra,Benin,154.0,4889616288.37,3399061725.8979,58638766005451.664
Andorra,Brunei,151.0,6045142812.37,4315640154.347899,69124752347405.26
Andorra,Bolivia,141.0,4521294695.37,3219394240.6479006,57934646232004.555
Andorra,Brazil,155.0,4821141930.37,3414979637.017901,59651189021575.266
Andorra,Bahamas,151.0,5900541153.37,4225672979.7279005,68858984951144.26
Andorra,Bhutan,140.0,4521470978.37,3219439695.6979003,57930808676244.664
Andorra,Botswana,149.0,4554200808.37,3236584575.3279004,58012618699488.664
Andorra,Belarus,150.0,4860098889.37,3469298623.2679005,59952525094062.664
Andorra,Belize,149.0,4529214983.37,3224605937.3279004,57992150564837.664
Andorra,Canada,156.0,4652848969.37,3279836302.767901,58104355045729.46
Andorra,Congo (Dem. Rep.),143.0,4614663246.37,3259586107.6379,57974020890261.86
Andorra,Central African Republic,148.0,4631085368.37,3269374779.3679,58038751615231.86
Andorra,Congo,146.0,4602099969.37,3256910233.4479003,58019176016953.86
Andorra,Switzerland,157.0,4692589278.37,3300340355.4379005,58304958104820.46
Andorra,Cote Divoire (Ivory Coast),153.0,4878226726.37,3390291763.1579,58561616305451.664
Andorra,Chile,147.0,4670297265.37,3338258611.9579005,59312677998253.664
Andorra,Cameroon,150.0,4783704401.37,3349513759.0379,58499140049160.96
Andorra,China,148.0,6026784818.37,4287083209.0878997,69018494056354.76
Andorra,Colombia,145.0,4685490550.37,3343451469.4579005,59303530571203.555
Andorra,Costa Rica,145.0,4525532418.37,3222435318.657901,57980560129960.664
Andorra,Cuba,153.0,4727206891.37,3370599623.867901,59484319386971.664
Andorra,Cape Verde,150.0,4854668650.37,3380376058.4779,58540671052887.664
Andorra,Cyprus,150.0,4528624625.37,3224276467.3979006,58000370482745.46
Andorra,Czech Republic,153.0,4646663920.37,3275636137.6479006,58077884987541.46
Andorra,Germany,159.0,4773706561.37,3360710347.9879007,58490411025743.46
Andorra,Djibouti,142.0,4649802134.37,3275513847.0779004,58009579050754.664
Andorra,Denmark,156.0,4741593635.37,3339117680.947901,58286196104820.46
Andorra,Dominica,150.0,4540598292.37,3233386012.8979006,58069589414122.266
Andorra,Dominican Republic,141.0,4523065458.37,3220630907.6479006,57944215466091.76
Andorra,Ecuador,143.0,4675721620.37,3342943845.7579007,59338203051996.555
Andorra,Estonia,151.0,4545138148.37,3230836696.6479006,58014166543940.46
Andorra,Egypt,145.0,4630142643.37,3269721968.8379,58075684273341.555
Andorra,Eritrea,143.0,4597173955.37,3253640459.1479006,58034716418479.664
Andorra,Spain,157.0,4759137761.37,3352977540.4879007,58470557104820.46
Andorra,Ethiopia,141.0,4631696564.37,3268271619.0779004,57998479577657.664
Andorra,Finland,157.0,4759137761.37,3352977540.4879007,58470557104820.46
Andorra,Fiji,146.0,6037367537.37,4336218903.2678995,70131321589167.555
Andorra,Micronesia,143.0,4521817108.37,3219761087.2179003,57933963086622.266
Andorra,France,157.0,4759137761.37,3352977540.4879007,58470557104820.46
Andorra,Gabon,144.0,4552879252.37,3234020089.0579,57971061524594.86
Andorra,Grenada,151.0,5911824545.37,4234366500.0679,68935700264837.66
Andorra,Georgia,146.0,4610449885.37,3282260602.0279007,58344210305839.664
Andorra,Ghana,155.0,4857367495.37,3382420919.6879,58579213844593.664
Andorra,Gambia,157.0,4861765002.37,3385072170.1879,58595786008494.664
Andorra,Guinea,151.0,4855560795.37,3381027324.3279,58545057061632.664
Andorra,Equatorial Guinea,144.0,4551999020.37,3233345475.8979,57966119592912.86
Andorra,Greece,154.0,4647431005.37,3276127072.0479007,58081051016597.46
Andorra,Guatemala,142.0,4666208620.37,3335333445.7579007,59283594089361.555
Andorra,Guinea-Bissau,151.0,4854858994.37,3380482651.1179,58541008466364.86
Andorra,Guyana,149.0,4673199372.37,3339817057.3579006,59318025327815.664
Andorra,Hong Kong,158.0,4845524134.37,3421179821.0979004,59625186563608.266
Andorra,Honduras,142.0,4666208620.37,3335333445.7579007,59283594089361.555
Andorra,Croatia,148.0,4525597458.37,3222557690.5479007,57993803173494.46
Andorra,Haiti,142.0,4521625630.37,3219579781.5479,57933912520604.664
Andorra,Hungary,152.0,4562682274.37,3244696556.1879005,58198527543940.46
Andorra,Indonesia,143.0,4667612435.37,3310528266.0879,58207189014236.664
Andorra,Ireland,154.0,4649346860.37,3277290622.697901,58087719216216.46
Andorra,Israel,156.0,4810572852.37,3407431310.5079007,59505995152010.266
Andorra,India,146.0,4623819333.37,3265377469.307901,58031315499649.664
Andorra,Iraq,141.0,4575621956.37,3253558679.8179007,58137858460555.664
Andorra,Iran,140.0,4539198561.37,3229883473.0679007,57969251460555.664
Andorra,Iceland,153.0,4738544451.37,3335406372.937901,58297719695647.46
Andorra,Italy,157.0,4759137761.37,3352977540.4879007,58470557104820.46
Andorra,Jamaica,149.0,4529214983.37,3224605937.3279004,57992150564837.664
Andorra,Jordan,143.0,4572364786.37,3247861734.9279003,58035280559056.555
Andorra,Japan,158.0,6124672330.37,4356017999.417901,69390325299502.26
Andorra,Kenya,158.0,5011903975.37,3454174878.9879,58730717863726.664
Andorra,Kyrgyzstan,150.0,4848816152.37,3460608779.2779007,59876353542210.76
Andorra,Cambodia,142.0,4666720290.37,3309877000.2379003,58202803005491.664
